date,type,ticker,vol,price,fee,epoch,transaction cost,inventory,inventory before split,inventory cost,average cost
2021-07-19,buy,VWCE,10.0,94.25,1.25,0,941.25,10.0,0.0,942.5,94.25
2021-08-18,buy,VWCE,8.0,97.2,3.0,0,774.6,18.0,0.0,1720.1,95.5611111111111
2021-09-15,buy,VWCE,13.0,97.28,1.25,0,1263.39,31.0,0.0,2984.74,96.28193548387097
2021-10-15,buy,VWCE,9.0,98.73,1.25,0,887.32,40.0,0.0,3873.31,96.83275
2021-11-12,buy,VWCE,13.0,103.0,1.25,0,1337.75,53.0,0.0,5212.3099999999995,98.3454716981132
2021-12-20,buy,VWCE,15.0,100.66,1.25,0,1508.6499999999999,68.0,0.0,6722.209999999999,98.8560294117647
