date,type,ticker,vol,price,fee,epoch,transaction cost,inventory,inventory before split,inventory cost,average cost
2022-01-17,buy,VWCE,10.0,102.68,1.25,0,1025.5500000000002,78.0,0.0,7749.009999999999,99.34628205128205
2022-02-16,buy,VWCE,10.0,99.34,1.25,0,992.1500000000001,88.0,0.0,8742.41,99.34556818181818
2022-03-15,buy,VWCE,21.0,97.15,1.9,0,2038.25,109.0,0.0,10782.56,98.92256880733945
2022-04-20,buy,VWCE,4.0,101.7,1.88,0,404.92,113.0,0.0,11189.359999999999,99.0208849557522
2022-05-17,buy,VWCE,1.0,96.2,1.25,0,94.95,114.0,0.0,11285.56,98.99614035087718
2022-05-17,buy,VWCE,8.0,96.17,1.25,0,768.11,122.0,0.0,12054.92,98.81081967213115
2022-06-20,buy,VWCE,11.0,88.66,1.25,0,974.01,133.0,0.0,13030.18,97.97127819548872
2022-09-15,buy,VWCE,8.0,96.88,1.25,0,773.79,141.0,0.0,13805.220000000001,97.90936170212767
2022-10-17,buy,VWCE,9.0,91.17,1.25,0,819.28,150.0,0.0,14625.750000000002,97.50500000000001
2022-11-22,buy,VWCE,13.0,95.85,1.25,0,1244.8,163.0,0.0,15871.800000000001,97.37300613496933
