date,type,ticker,vol,price,fee,epoch,transaction cost,inventory,inventory before split,inventory cost,average cost
2025-01-15,buy,VWCE,8.0,133.92,1.25,0,1070.11,440.1469,0.0,51428.58607399999,116.84414015866064
2025-02-19,buy,VWCE,8.0,139.42,1.25,0,1114.11,448.1469,0.0,52543.94607399999,117.24714836585947
2025-02-19,buy,VWCE,15.0,126.28,1.25,0,1892.95,463.1469,0.0,54438.14607399999,117.53969652825052
2025-03-19,buy,VWCE,7.0,127.54,1.25,0,891.5300000000001,470.1469,0.0,55330.92607399999,117.68859068091268
2025-03-20,buy,VWCE,0.8531,128.32,1.25,0,108.21979199999998,471.0,0.0,55440.39586599999,117.70784684925688
2025-04-15,buy,VWCE,5.0,117.58,1.3,0,586.6,476.0,0.0,56028.29586599999,117.70650392016805
